레시피명,재료,조리도구,레시피,식사/간식,링크,기본 조리도구,추가 조리도구
간장계란밥,"밥, 계란, 간장, 참기름, 깨, 식용유","프라이팬, 밥그릇, 숟가락","1. 계란후라이를 반숙으로 조리한다.
2. 밥에 간장 1T와 참기름 1T를 넣고 비빈다.",식사,,밥그릇,프라이팬
김치 알밥,"밥, 날치알 2스푼, 상추 2장, 김치, 단무지, 김, 참기름 0.3스푼, 설탕 0.15스푼, 깨, 고춧가루 0.3스푼",,"1. 날치알을 물로 헹군 후 체에 걸러 물기를 빼준다. 
2. 김치를 잘게 썰어 참기름, 설탕, 참깨, 고춧가루와 무친다.
3. 단무지, 상추, 김을 잘게 썰어 준비한다.
4. 밥 위에 김가루와 함께 준비한 재료를 담아 비빈다.",식사,https://m.10000recipe.com/recipe/6881895,대접,전자레인지
만두밥,"밥, 만두 10개, 양파 1개, 다진마늘 0.5스푼, 계란 1개, 슬라이드치즈 1개, 식용유",가스레인지,"1. 가위로 만두를 잘게 자른다
2. 양파를 잘게 자른다
3. 프라이팬 센 불에 기름을 두른다. 
4.계란을 풀어 넣고 젓가락으로 젓는다.
4. 계란을 빼두고 양파와 마늘을 볶는다.
5. 자른만두를 넣고 볶다가 밥을 넣고 볶는다.
6. 그릇에 볶음밥을 담고 위에 슬라이스 치즈를 올린다.
7. 취향에 따라 케첩과 마요네즈를 뿌린다.",식사,https://m.10000recipe.com/recipe/6853852,숟가락,냄비
들기름 국수,"소면, 진간장 3스푼, 설탕 1스푼, 들기름 2스푼, 김",가스레인지,"1. 소면을 삶고 찬 물에 헹군다.
2. 소면에 간장, 들기름, 설탕을 넣고 섞는다.
3. 김을 잘라 소면 위에 올린다.
4. 취향에 따라 계란, 깨, 깻잎을 넣는다.",식사,https://www.youtube.com/watch?v=BIUfoEBZjCY,젓가락,가위
케첩 계란밥,"밥, 케첩 3스푼, 간장 1스푼, 다진마늘 1스푼, 물 0.5컵, 식용유 1스푼, 양파 0.25개, 계란 3개",가스레인지,"1. 케첩, 간장, 다진마늘, 물을 넣고 양념을 만든다.
2. 팬에 기름을 두르고 양파를 볶는다.
3. 팬에 계란 3개를 추가로 넣는다.
4. 중약불에 계란이 살짝 노릇해지면 양념을 넣는다.
5. 취향에 따라 후추, 고추를 넣어준다.
6.. 소스를 끼얹으며 노른자를 원하는만큼 익혀준다. ",식사,https://www.youtube.com/shorts/VluMp9xsSQk,,칼
전자레인지 계란죽,"밥 4스푼, 계란 2개, 물 0.5컵, 대파 0.25개, 소금, 후추, 참기름 1스푼, 간장",전자레인지,"1. 밥에 계란, 물을 넣는다, 
2. 대파를 잘라 넣는다.
3. 소금, 후추를 뿌리고 잘 섞는다.
4. 전자레인지에 2분 돌리고 뒤섞어 준다.
5. 전자레인지에 2분을 더 돌린다.
6. 참기름을 넣고 간장으로 간을 맞춘다.",식사,https://www.youtube.com/shorts/9BGJ-C7BHmE,,도마
순두부 짜글이,"순두부 0.5봉, 참치 0.5캔, 계란 1개, 고추장 1스푼, 고추가루 1스푼, ",전자레인지,"1. 순두부를 크게 토막낸다.
2. 참치와 계란을 함께 담고 노른자를 한 번 찔러준다.
3. 고추장, 고추가루를 넣는다. 취향에 따라 청양고추를 넣는다.
4. 뚜껑을 덮고 전자레인지에 3분 돌린다.",식사,https://www.youtube.com/shorts/yEYXYXzdJdk,,
나시고랭 볶음밥,"올리브유 1스푼, 다진마늘 0.5스푼, 새우 10마리/고기(닭가슴살 또는 목살), 간장, 굴소스 1스푼, 스리라차0.5스푼, 알룰로스/설탕 0.5티스푼, 밥 1인분, 계란 2개, 숙주, *매운 맛 선호 시 크러쉬드 레드페퍼 또는 청양고추",프라이팬,"1. 프라이팬에 올리브유를 두르고 다진마늘을 볶는다
 2. 새우 10마리 또는 고기를 넣고 볶는다
 3. 간장 1테이블스푼, 굴소스 1테이블스푼, 스리라차 0.5테이블스푼, 알룰로스 0.5T를 넣고 밥과 함께 볶는다 *매운 맛 선호 시 이때 크러쉬드 레드페퍼/청양고추를 넣어준다
 4. 밥을 프라이팬 구석에 몰아주고 계란 2개를 스크램블 해서 어느 정도 익으면 밥과 함께 볶아준다
 5. 숙주를 조금 넣고 숨이 죽을 때까지 살짝 볶으면 완성",식사,,,
양배추 파스타,"간장 1.5스푼, 케첩 0.5스푼, 참치액 0.5스푼, 액상알룰로스 1스푼, 다진마늘 0.5스푼, 대파 0.3대, 양배추 0.125 통",프라이팬,"1. 100원 동전만큼 파스타면을 삶는다.
2. 간장, 케첩, 참치액, 액상 알룰로스에 면수 3스푼을 넣고 소스를 만든다.
3. 팬에 기름을 두르고 대파, 다진마늘, 양배추를 넣고 볶는다.
4. 취향에 따라 새우를 넣는다.
4. 만들어둔 소스를 살짝 졸인 후 면을 넣고 볶는다.
5. 취향에 따라 후추와 마요네즈를 뿌린다.",식사,https://www.youtube.com/shorts/7I4duVuCjxw,,
양배추 참치 비빔밥,"올리브유 1스푼, 양배추 1/4통, 참치액 0.5티스푼, 굴소스 0.5티스푼, 참치 1캔, 계란 1개, 밥 1인분",프라이팬,"1. 프라이팬에 올리브유를 두르고 채썬 양배추를 볶아준다
 2. 양배추가 숨이 죽으면 참치액 0.5T, 굴소스 0.5T 넣고 볶는다
 3. 기름을 빼둔 참치를 넣고 볶는다
 4. 프라이팬 가운데에 동그랗게 자리를 만들어 계란후라이를 구워준다(반숙 추천)
 5. 밥 위에 얹어주면 완성",식사,,,
